study_id,segment,code_identifiers,code_main,code_identifiers_link,segment_drug_combo,combo_key,drug_id,drug_definitions,drug_mn,drug_segment_name_class,drug_preferred_label,drug_class,drug_class_desc,drug_parent_id,drug_parent_id_qualifier,drug_pa_id,drug_parent_name,drug_pa_name,drug_rank
10020,fluoroquinolones,NA,drug resisted,NA,FALSE,11,d024841,a group of quinolones with at least one fluorine atom and a piperazinyl group.,d03.633.100.810.835.322,preferred_label,fluoroquinolones,d,desc,d015363,NA,d019384,quinolones,nucleic acid synthesis inhibitors,drug group
10020,fluoroquinolones,NA,drug resisted,NA,FALSE,11,d024841,a group of quinolones with at least one fluorine atom and a piperazinyl group.,d03.633.100.810.835.322,preferred_label,fluoroquinolones,d,desc,d015363,NA,d000900,quinolones,anti-bacterial agents,drug group
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d014295,NA,d000962,trimethoprim,antimalarials,drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d014295,NA,d000900,trimethoprim,anti-bacterial agents,drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d014295,NA,d000892,trimethoprim,"anti-infective agents, urinary",drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d004338,NA,d000962,drug combinations,antimalarials,drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d004338,NA,d000900,drug combinations,anti-bacterial agents,drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d004338,NA,d000892,drug combinations,"anti-infective agents, urinary",drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d013420,NA,d000962,sulfamethoxazole,antimalarials,drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d013420,NA,d000900,sulfamethoxazole,anti-bacterial agents,drug name
10020,co-trimoxazole,NA,drug resisted,NA,FALSE,12,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d013420,NA,d000892,sulfamethoxazole,"anti-infective agents, urinary",drug name
10081,isoniazid,NA,drug resisted,NA,FALSE,13,d007538,antibacterial agent used primarily as a tuberculostatic. it remains the treatment of choice for tuberculosis.,d03.066.349.410|d02.442.436|d03.383.725.394.582,preferred_label,isoniazid,d,desc,d006834,NA,d000995,hydrazines,antitubercular agents,drug name
10081,isoniazid,NA,drug resisted,NA,FALSE,13,d007538,antibacterial agent used primarily as a tuberculostatic. it remains the treatment of choice for tuberculosis.,d03.066.349.410|d02.442.436|d03.383.725.394.582,preferred_label,isoniazid,d,desc,d006834,NA,d054872,hydrazines,fatty acid synthesis inhibitors,drug name
10081,isoniazid,NA,drug resisted,NA,FALSE,13,d007538,antibacterial agent used primarily as a tuberculostatic. it remains the treatment of choice for tuberculosis.,d03.066.349.410|d02.442.436|d03.383.725.394.582,preferred_label,isoniazid,d,desc,d007539,NA,d000995,isonicotinic acids,antitubercular agents,drug name
10081,isoniazid,NA,drug resisted,NA,FALSE,13,d007538,antibacterial agent used primarily as a tuberculostatic. it remains the treatment of choice for tuberculosis.,d03.066.349.410|d02.442.436|d03.383.725.394.582,preferred_label,isoniazid,d,desc,d007539,NA,d054872,isonicotinic acids,fatty acid synthesis inhibitors,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d065695,rifamycins,cytochrome p-450 cyp2b6 inducers,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d065696,rifamycins,cytochrome p-450 cyp2c8 inducers,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d019384,rifamycins,nucleic acid synthesis inhibitors,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d065701,rifamycins,cytochrome p-450 cyp3a inducers,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d007917,rifamycins,leprostatic agents,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d065697,rifamycins,cytochrome p-450 cyp2c19 inducers,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d065698,rifamycins,cytochrome p-450 cyp2c9 inducers,drug name
10081,rifampin,NA,drug resisted,NA,FALSE,14,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,NA,d000904,rifamycins,"antibiotics, antitubercular",drug name
10081,ethambutol,NA,drug resisted,NA,FALSE,15,d004977,"an antitubercular agent that inhibits the transfer of mycolic acids into the cell wall of the tubercle bacillus. it may also inhibit the synthesis of spermidine in mycobacteria. the action is usually bactericidal, and the drug can penetrate human cell membranes to exert its lethal effect. (from smith and reynard, textbook of pharmacology, 1992, p863)",d02.092.782.258.368.265,preferred_label,ethambutol,d,desc,d005029,NA,d000995,ethylenediamines,antitubercular agents,drug name
10081,pyrazinamide,NA,drug resisted,NA,FALSE,16,d011718,a pyrazine that is used therapeutically as an antitubercular agent.,d03.383.679.750,preferred_label,pyrazinamide,d,desc,d011719,NA,d000995,pyrazines,antitubercular agents,drug name
10083,amoxicillin,b,drug resisted,drug resisted; mic,FALSE,17,d000658,a broad-spectrum semisynthetic antibiotic similar to ampicillin except that its resistance to gastric acid permits higher serum levels with oral administration.,d02.065.589.099.750.750.050.050|d02.886.108.750.750.050.050|d03.633.100.300.750.750.050.050,preferred_label,amoxicillin,d,desc,d000667,NA,d000900,ampicillin,anti-bacterial agents,drug group
10083,amoxicillin-potassium clavulanate combination,a,drug resisted,drug resisted; mic,FALSE,18,d019980,a fixed-ratio combination of amoxicillin trihydrate and potassium clavulanate.,d02.065.589.099.374.160.060|d03.633.100.300.750.750.050.050.500|d02.065.589.099.750.750.050.050.060|d02.886.108.750.750.050.050.060|d03.633.100.300.374.160.060,preferred_label,amoxicillin-potassium clavulanate combination,d,desc,d019818,NA,d065093,clavulanic acid,beta-lactamase inhibitors,drug name
10083,amoxicillin-potassium clavulanate combination,a,drug resisted,drug resisted; mic,FALSE,18,d019980,a fixed-ratio combination of amoxicillin trihydrate and potassium clavulanate.,d02.065.589.099.374.160.060|d03.633.100.300.750.750.050.050.500|d02.065.589.099.750.750.050.050.060|d02.886.108.750.750.050.050.060|d03.633.100.300.374.160.060,preferred_label,amoxicillin-potassium clavulanate combination,d,desc,d000658,NA,d065093,amoxicillin,beta-lactamase inhibitors,drug name
10083,ceftriaxone,c,drug resisted,drug resisted; mic,FALSE,19,d002443,"a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.",d03.633.100.300.249.190.190.155|d02.065.589.099.249.190.190.155|d02.886.665.074.190.190.155,preferred_label,ceftriaxone,d,desc,d002439,NA,d000900,cefotaxime,anti-bacterial agents,drug name
10083,cefuroxime,d,drug resisted,drug resisted; mic,FALSE,20,d002444,"broad-spectrum cephalosporin antibiotic resistant to beta-lactamase. it has been proposed for infections with gram-negative and gram-positive organisms, gonorrhea, and haemophilus.",d03.633.100.300.249.190.190.165|d02.065.589.099.249.190.190.165|d02.886.665.074.190.190.165,preferred_label,cefuroxime,d,desc,d002439,NA,d000900,cefotaxime,anti-bacterial agents,drug name
10083,erythromycin,e,drug resisted,drug resisted; mic,FALSE,21,d004917,"a bacteriostatic antibiotic macrolide produced by streptomyces erythreus. erythromycin a is considered its major active component. in sensitive organisms, it inhibits protein synthesis by binding to 50s ribosomal subunits. this binding process inhibits peptidyl transferase activity and interferes with translocation of amino acids during translation and assembly of proteins.",d02.540.576.500.992,preferred_label,erythromycin,d,desc,d018942,NA,d011500,macrolides,protein synthesis inhibitors,drug group
10083,erythromycin,e,drug resisted,drug resisted; mic,FALSE,21,d004917,"a bacteriostatic antibiotic macrolide produced by streptomyces erythreus. erythromycin a is considered its major active component. in sensitive organisms, it inhibits protein synthesis by binding to 50s ribosomal subunits. this binding process inhibits peptidyl transferase activity and interferes with translocation of amino acids during translation and assembly of proteins.",d02.540.576.500.992,preferred_label,erythromycin,d,desc,d018942,NA,d000900,macrolides,anti-bacterial agents,drug group
10083,erythromycin,e,drug resisted,drug resisted; mic,FALSE,21,d004917,"a bacteriostatic antibiotic macrolide produced by streptomyces erythreus. erythromycin a is considered its major active component. in sensitive organisms, it inhibits protein synthesis by binding to 50s ribosomal subunits. this binding process inhibits peptidyl transferase activity and interferes with translocation of amino acids during translation and assembly of proteins.",d02.540.576.500.992,preferred_label,erythromycin,d,desc,d018942,NA,d005765,macrolides,gastrointestinal agents,drug group
10083,clarithromycin,f,drug resisted,drug resisted; mic,FALSE,22,d017291,a semisynthetic macrolide antibiotic derived from erythromycin that is active against a variety of microorganisms. it can inhibit protein synthesis in bacteria by reversibly binding to the 50s ribosomal subunits. this inhibits the translocation of aminoacyl transfer-rna and prevents peptide chain elongation.,d02.540.576.500.992.100,preferred_label,clarithromycin,d,desc,d004917,NA,d011500,erythromycin,protein synthesis inhibitors,drug name
10083,clarithromycin,f,drug resisted,drug resisted; mic,FALSE,22,d017291,a semisynthetic macrolide antibiotic derived from erythromycin that is active against a variety of microorganisms. it can inhibit protein synthesis in bacteria by reversibly binding to the 50s ribosomal subunits. this inhibits the translocation of aminoacyl transfer-rna and prevents peptide chain elongation.,d02.540.576.500.992.100,preferred_label,clarithromycin,d,desc,d004917,NA,d065692,erythromycin,cytochrome p-450 cyp3a inhibitors,drug name
10083,clarithromycin,f,drug resisted,drug resisted; mic,FALSE,22,d017291,a semisynthetic macrolide antibiotic derived from erythromycin that is active against a variety of microorganisms. it can inhibit protein synthesis in bacteria by reversibly binding to the 50s ribosomal subunits. this inhibits the translocation of aminoacyl transfer-rna and prevents peptide chain elongation.,d02.540.576.500.992.100,preferred_label,clarithromycin,d,desc,d004917,NA,d000900,erythromycin,anti-bacterial agents,drug name
10083,tetracycline,g,drug resisted,drug resisted; mic,FALSE,23,d013752,a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.,d04.615.562.900.875|d02.455.426.559.847.562.900.875,preferred_label,tetracycline,d,desc,d013754,NA,d011500,tetracyclines,protein synthesis inhibitors,drug name
10083,tetracycline,g,drug resisted,drug resisted; mic,FALSE,23,d013752,a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.,d04.615.562.900.875|d02.455.426.559.847.562.900.875,preferred_label,tetracycline,d,desc,d013754,NA,d000900,tetracyclines,anti-bacterial agents,drug name
10083,levofloxacin,h,drug resisted,drug resisted; mic,FALSE,24,d064704,the l-isomer of ofloxacin.,d03.633.100.810.835.322.500.500,preferred_label,levofloxacin,d,desc,d015242,NA,d065609,ofloxacin,cytochrome p-450 cyp1a2 inhibitors,drug name
10083,levofloxacin,h,drug resisted,drug resisted; mic,FALSE,24,d064704,the l-isomer of ofloxacin.,d03.633.100.810.835.322.500.500,preferred_label,levofloxacin,d,desc,d015242,NA,d000900,ofloxacin,anti-bacterial agents,drug name
10083,levofloxacin,h,drug resisted,drug resisted; mic,FALSE,24,d064704,the l-isomer of ofloxacin.,d03.633.100.810.835.322.500.500,preferred_label,levofloxacin,d,desc,d015242,NA,d000892,ofloxacin,"anti-infective agents, urinary",drug name
10083,levofloxacin,h,drug resisted,drug resisted; mic,FALSE,24,d064704,the l-isomer of ofloxacin.,d03.633.100.810.835.322.500.500,preferred_label,levofloxacin,d,desc,d015242,NA,d059005,ofloxacin,topoisomerase ii inhibitors,drug name
10083,moxifloxacin,i,drug resisted,drug resisted; mic,FALSE,25,c104727,NA,NA,preferred_label,moxifloxacin,c,supp,d024841,NA,d000900,fluoroquinolones,anti-bacterial agents,drug name
10083,moxifloxacin,i,drug resisted,drug resisted; mic,FALSE,25,c104727,NA,NA,preferred_label,moxifloxacin,c,supp,d024841,NA,d059005,fluoroquinolones,topoisomerase ii inhibitors,drug name
10083,gatifloxacin,j,drug resisted,drug resisted; mic,FALSE,26,c078049,NA,NA,preferred_label,gatifloxacin,c,supp,d024841,NA,d000900,fluoroquinolones,anti-bacterial agents,drug name
10083,gatifloxacin,j,drug resisted,drug resisted; mic,FALSE,26,c078049,NA,NA,preferred_label,gatifloxacin,c,supp,d024841,NA,d059005,fluoroquinolones,topoisomerase ii inhibitors,drug name
10125,doripenem,a,drug resisted,drug resisted; mic,FALSE,27,c099245,NA,NA,preferred_label,doripenem,c,supp,d015780,NA,NA,carbapenems,NA,drug name
10125,ertapenem,b,drug resisted,drug resisted; mic,FALSE,28,c446479,NA,NA,preferred_label,ertapenem,c,supp,d047090,NA,d000900,beta-lactams,anti-bacterial agents,drug name
10125,meropenem,c,drug resisted,drug resisted; mic,FALSE,29,c059500,NA,NA,preferred_label,meropenem,c,supp,d013845,NA,d000900,thienamycins,anti-bacterial agents,drug name
10125,imipenem,d,drug resisted,drug resisted; mic,FALSE,30,d015378,"semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.",d02.065.589.099.124.300.500|d03.633.100.300.124.300.500,preferred_label,imipenem,d,desc,d013845,NA,d000900,thienamycins,anti-bacterial agents,drug name
10125,amoxicillin-potassium clavulanate combination,e,drug resisted,drug resisted; mic,FALSE,31,d019980,a fixed-ratio combination of amoxicillin trihydrate and potassium clavulanate.,d02.065.589.099.374.160.060|d03.633.100.300.750.750.050.050.500|d02.065.589.099.750.750.050.050.060|d02.886.108.750.750.050.050.060|d03.633.100.300.374.160.060,preferred_label,amoxicillin-potassium clavulanate combination,d,desc,d019818,NA,d065093,clavulanic acid,beta-lactamase inhibitors,drug name
10125,amoxicillin-potassium clavulanate combination,e,drug resisted,drug resisted; mic,FALSE,31,d019980,a fixed-ratio combination of amoxicillin trihydrate and potassium clavulanate.,d02.065.589.099.374.160.060|d03.633.100.300.750.750.050.050.500|d02.065.589.099.750.750.050.050.060|d02.886.108.750.750.050.050.060|d03.633.100.300.374.160.060,preferred_label,amoxicillin-potassium clavulanate combination,d,desc,d000658,NA,d065093,amoxicillin,beta-lactamase inhibitors,drug name
10125,ceftriaxone,f,drug resisted,drug resisted; mic,FALSE,32,d002443,"a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.",d03.633.100.300.249.190.190.155|d02.065.589.099.249.190.190.155|d02.886.665.074.190.190.155,preferred_label,ceftriaxone,d,desc,d002439,NA,d000900,cefotaxime,anti-bacterial agents,drug name
10125,cefuroxime,g,drug resisted,drug resisted; mic,FALSE,33,d002444,"broad-spectrum cephalosporin antibiotic resistant to beta-lactamase. it has been proposed for infections with gram-negative and gram-positive organisms, gonorrhea, and haemophilus.",d03.633.100.300.249.190.190.165|d02.065.589.099.249.190.190.165|d02.886.665.074.190.190.165,preferred_label,cefuroxime,d,desc,d002439,NA,d000900,cefotaxime,anti-bacterial agents,drug name
10125,"piperacillin, tazobactam drug combination",h,drug resisted,drug resisted; mic,FALSE,34,c085143,NA,NA,preferred_label,"piperacillin, tazobactam drug combination",c,supp,d010397,q000031|d010878,d065093,penicillanic acid,beta-lactamase inhibitors,drug name
10125,"piperacillin, tazobactam drug combination",h,drug resisted,drug resisted; mic,FALSE,34,c085143,NA,NA,preferred_label,"piperacillin, tazobactam drug combination",c,supp,d010397,q000031|d010878,d000900,penicillanic acid,anti-bacterial agents,drug name
10125,ceftazidime,i,drug resisted,drug resisted; mic,TRUE,35,d002442,"semisynthetic, broad-spectrum antibacterial derived from cephaloridine and used especially for pseudomonas and other gram-negative infections in debilitated patients.",d03.633.100.300.249.210.150|d02.065.589.099.249.210.150|d02.886.665.074.210.150,preferred_label,ceftazidime,d,desc,d002509,NA,d000900,cephaloridine,anti-bacterial agents,drug name
10125,clavulanic acid,i,drug resisted,drug resisted; mic,TRUE,35,d019818,"clavulanic acid and its salts and esters. the acid is a suicide inhibitor of bacterial beta-lactamase enzymes from streptomyces clavuligerus. administered alone, it has only weak antibacterial activity against most organisms, but given in combination with other beta-lactam antibiotics it prevents antibiotic inactivation by microbial lactamase.",d02.065.589.099.374.160|d03.633.100.300.374.160,preferred_label,clavulanic acid,d,desc,d002969,NA,d065093,clavulanic acids,beta-lactamase inhibitors,drug group
